timestamp,symbol,qty,avg_entry,current,market_value,unreal_pl,unreal_plpc
2025-09-29T15:31:35Z,ANIP,262.98779590,95.05,91.96,24184.36,-812.63,-0.032509
2025-09-29T15:31:35Z,APH,203.02111589,123.13,121.47,24660.97,-337.02,-0.013482
2025-09-29T15:31:35Z,CENX,958.95550441,26.07,29.87,28644.00,3644.03,0.145761
2025-09-29T15:31:35Z,EAT,180.94955124,138.16,131.13,23727.91,-1272.08,-0.050883
2025-09-29T15:42:02Z,ANIP,262.98779590,95.05,91.94,24179.10,-817.89,-0.032720
2025-09-29T15:42:02Z,APH,203.02111589,123.13,121.25,24616.31,-381.68,-0.015268
2025-09-29T15:42:02Z,CENX,958.95550441,26.07,29.63,28413.85,3413.88,0.136555
2025-09-29T15:42:02Z,EAT,180.94955124,138.16,131.48,23791.25,-1208.74,-0.048350
2025-09-29T15:48:15Z,ANIP,262.98779590,95.05,92.02,24200.14,-796.85,-0.031878
2025-09-29T15:48:15Z,APH,203.02111589,123.13,121.35,24636.61,-361.38,-0.014456
2025-09-29T15:48:15Z,CENX,958.95550441,26.07,29.69,28471.39,3471.42,0.138857
2025-09-29T15:48:15Z,EAT,180.94955124,138.16,131.31,23760.49,-1239.50,-0.049580
2025-09-29T15:55:15Z,ANIP,262.98779590,95.05,91.39,24034.45,-962.54,-0.038506
2025-09-29T15:55:15Z,APH,203.02111589,123.13,121.53,24673.16,-324.83,-0.012994
2025-09-29T15:55:15Z,CENX,958.95550441,26.07,29.54,28327.55,3327.58,0.133103
2025-09-29T15:55:15Z,EAT,180.94955124,138.16,131.20,23740.58,-1259.41,-0.050376
2025-09-29T16:09:17Z,ANIP,262.98779590,95.05,91.45,24050.23,-946.76,-0.037875
2025-09-29T16:09:17Z,APH,203.02111589,123.13,121.36,24638.64,-359.35,-0.014375
2025-09-29T16:09:17Z,CENX,958.95550441,26.07,29.41,28202.88,3202.91,0.128117
2025-09-29T16:09:17Z,EAT,180.94955124,138.16,130.79,23666.39,-1333.60,-0.053344
2025-09-29T16:29:07Z,ANIP,262.98779590,95.05,91.22,23988.43,-1008.56,-0.040347
2025-09-29T16:29:07Z,APH,203.02111589,123.13,121.57,24681.28,-316.71,-0.012670
2025-09-29T16:29:07Z,CENX,958.95550441,26.07,29.46,28246.03,3246.06,0.129843
2025-09-29T16:29:07Z,EAT,180.94955124,138.16,130.56,23624.77,-1375.22,-0.055009
2025-09-29T16:38:10Z,ANIP,262.98779590,95.05,91.27,24002.90,-994.09,-0.039769
2025-09-29T16:38:10Z,APH,203.02111589,123.13,121.51,24669.10,-328.89,-0.013157
2025-09-29T16:38:10Z,CENX,958.95550441,26.07,29.44,28231.65,3231.68,0.129267
2025-09-29T16:38:10Z,EAT,180.94955124,138.16,130.30,23577.33,-1422.66,-0.056906
2025-09-29T16:44:35Z,ANIP,262.98779590,95.05,91.58,24083.11,-913.88,-0.036560
2025-09-29T16:44:35Z,APH,203.02111589,123.13,121.26,24618.34,-379.65,-0.015187
2025-09-29T16:44:35Z,CENX,958.95550441,26.07,29.44,28229.25,3229.28,0.129171
2025-09-29T16:44:35Z,EAT,180.94955124,138.16,130.32,23580.44,-1419.55,-0.056782
2025-09-29T16:50:18Z,ANIP,262.98779590,95.05,91.58,24084.42,-912.57,-0.036507
2025-09-29T16:50:18Z,APH,203.02111589,123.13,121.15,24596.01,-401.98,-0.016081
2025-09-29T16:50:18Z,CENX,958.95550441,26.07,29.53,28317.96,3317.99,0.132720
2025-09-29T16:50:18Z,EAT,180.94955124,138.16,130.20,23558.73,-1441.26,-0.057651
2025-09-29T16:56:35Z,ANIP,262.98779590,95.05,91.49,24060.75,-936.24,-0.037454
2025-09-29T16:56:35Z,APH,203.02111589,123.13,121.25,24616.31,-381.68,-0.015268
2025-09-29T16:56:35Z,CENX,958.95550441,26.07,29.47,28260.42,3260.45,0.130418
2025-09-29T16:56:35Z,EAT,180.94955124,138.16,130.26,23570.49,-1429.50,-0.057180
2025-09-29T17:11:20Z,ANIP,262.98779590,95.05,91.60,24089.68,-907.31,-0.036297
2025-09-29T17:11:20Z,APH,203.02111589,123.13,121.20,24605.14,-392.85,-0.015715
2025-09-29T17:11:20Z,CENX,958.95550441,26.07,29.49,28279.60,3279.63,0.131185
2025-09-29T17:11:20Z,EAT,180.94955124,138.16,130.48,23610.30,-1389.69,-0.055588
2025-09-29T17:28:41Z,ANIP,262.98779590,95.05,91.58,24084.42,-912.57,-0.036507
2025-09-29T17:28:41Z,APH,203.02111589,123.13,121.03,24571.65,-426.34,-0.017055
2025-09-29T17:28:41Z,CENX,958.95550441,26.07,29.35,28145.34,3145.37,0.125815
2025-09-29T17:28:41Z,EAT,180.94955124,138.16,131.71,23832.87,-1167.12,-0.046685
2025-09-29T17:36:34Z,ANIP,262.98779590,95.05,91.66,24104.15,-892.84,-0.035718
2025-09-29T17:36:34Z,APH,203.02111589,123.13,121.08,24582.81,-415.18,-0.016608
2025-09-29T17:36:34Z,CENX,958.95550441,26.07,29.43,28222.06,3222.09,0.128884
2025-09-29T17:36:34Z,EAT,180.94955124,138.16,131.78,23846.44,-1153.55,-0.046142
2025-09-29T17:42:51Z,ANIP,262.98779590,95.05,91.69,24113.35,-883.64,-0.035350
2025-09-29T17:42:51Z,APH,203.02111589,123.13,120.97,24559.48,-438.51,-0.017542
2025-09-29T17:42:51Z,CENX,958.95550441,26.07,29.41,28203.84,3203.87,0.128155
2025-09-29T17:42:51Z,EAT,180.94955124,138.16,131.75,23840.10,-1159.89,-0.046395
2025-09-29T17:49:06Z,ANIP,262.98779590,95.05,91.62,24094.94,-902.05,-0.036086
2025-09-29T17:49:06Z,APH,203.02111589,123.13,120.95,24556.01,-441.98,-0.017681
2025-09-29T17:49:06Z,CENX,958.95550441,26.07,29.39,28183.70,3183.73,0.127349
2025-09-29T17:49:06Z,EAT,180.94955124,138.16,131.76,23841.91,-1158.08,-0.046323
2025-09-29T17:54:41Z,ANIP,262.98779590,95.05,91.68,24110.72,-886.27,-0.035455
2025-09-29T17:54:41Z,APH,203.02111589,123.13,120.98,24562.51,-435.48,-0.017421
2025-09-29T17:54:41Z,CENX,958.95550441,26.07,29.51,28298.78,3298.81,0.131952
2025-09-29T17:54:41Z,EAT,180.94955124,138.16,131.65,23822.01,-1177.98,-0.047119
2025-09-29T18:00:21Z,ANIP,262.98779590,95.05,91.52,24068.64,-928.35,-0.037138
2025-09-29T18:00:21Z,APH,203.02111589,123.13,120.81,24526.98,-471.01,-0.018842
2025-09-29T18:00:21Z,CENX,958.95550441,26.07,29.47,28260.42,3260.45,0.130418
2025-09-29T18:00:21Z,EAT,180.94955124,138.16,131.86,23860.01,-1139.98,-0.045599
2025-09-29T18:29:13Z,ANIP,262.98779590,95.05,91.15,23971.34,-1025.65,-0.041031
2025-09-29T18:29:13Z,APH,203.02111589,123.13,120.55,24474.20,-523.79,-0.020953
2025-09-29T18:29:13Z,CENX,958.95550441,26.07,29.30,28097.40,3097.43,0.123897
2025-09-29T18:29:13Z,EAT,180.94955124,138.16,131.80,23849.15,-1150.84,-0.046034
2025-09-29T18:48:08Z,ANIP,262.98779590,95.05,91.28,24005.53,-991.46,-0.039663
2025-09-29T18:48:08Z,APH,203.02111589,123.13,120.61,24485.50,-512.49,-0.020501
2025-09-29T18:48:08Z,CENX,958.95550441,26.07,29.32,28116.58,3116.61,0.124664
2025-09-29T18:48:08Z,EAT,180.94955124,138.16,131.72,23835.58,-1164.41,-0.046576
2025-09-29T18:55:32Z,ANIP,262.98779590,95.05,90.89,23902.96,-1094.03,-0.043766
2025-09-29T18:55:32Z,APH,203.02111589,123.13,120.52,24468.10,-529.89,-0.021197
2025-09-29T18:55:32Z,CENX,958.95550441,26.07,29.28,28078.22,3078.25,0.123130
2025-09-29T18:55:32Z,EAT,180.94955124,138.16,131.88,23864.53,-1135.46,-0.045418
2025-09-29T19:07:53Z,ANIP,262.98779590,95.05,90.95,23918.74,-1078.25,-0.043135
2025-09-29T19:07:53Z,APH,203.02111589,123.13,120.41,24445.77,-552.22,-0.022090
2025-09-29T19:07:53Z,CENX,958.95550441,26.07,29.34,28139.11,3139.14,0.125566
2025-09-29T19:07:53Z,EAT,180.94955124,138.16,131.79,23847.34,-1152.65,-0.046106
2025-09-29T19:22:52Z,ANIP,262.98779590,95.05,90.73,23860.88,-1136.11,-0.045450
2025-09-29T19:22:52Z,APH,203.02111589,123.13,120.62,24487.39,-510.60,-0.020426
2025-09-29T19:22:52Z,CENX,958.95550441,26.07,29.36,28154.93,3154.96,0.126199
2025-09-29T19:22:52Z,EAT,180.94955124,138.16,131.70,23831.96,-1168.03,-0.046721
2025-09-29T19:28:33Z,ANIP,262.98779590,95.05,90.87,23897.70,-1099.29,-0.043977
2025-09-29T19:28:33Z,APH,203.02111589,123.13,120.63,24490.94,-507.05,-0.020283
2025-09-29T19:28:33Z,CENX,958.95550441,26.07,29.34,28140.55,3140.58,0.125623
2025-09-29T19:28:33Z,EAT,180.94955124,138.16,131.74,23838.29,-1161.70,-0.046468
2025-09-29T19:36:20Z,ANIP,262.98779590,95.05,91.31,24013.42,-983.57,-0.039348
2025-09-29T19:36:20Z,APH,203.02111589,123.13,120.77,24518.86,-479.13,-0.019167
2025-09-29T19:36:20Z,CENX,958.95550441,26.07,29.26,28059.04,3059.07,0.122363
2025-09-29T19:36:20Z,EAT,180.94955124,138.16,131.94,23873.58,-1126.41,-0.045056
2025-09-29T19:43:07Z,ANIP,262.98779590,95.05,91.39,24034.45,-962.54,-0.038506
2025-09-29T19:43:07Z,APH,203.02111589,123.13,120.86,24537.13,-460.86,-0.018436
2025-09-29T19:43:07Z,CENX,958.95550441,26.07,29.39,28183.70,3183.73,0.127349
2025-09-29T19:43:07Z,EAT,180.94955124,138.16,131.72,23834.67,-1165.32,-0.046613
2025-09-29T19:49:20Z,ANIP,262.98779590,95.05,91.82,24147.54,-849.45,-0.033982
2025-09-29T19:49:20Z,APH,203.02111589,123.13,120.72,24509.72,-488.27,-0.019532
2025-09-29T19:49:20Z,CENX,958.95550441,26.07,29.50,28293.98,3294.01,0.131761
2025-09-29T19:49:20Z,EAT,180.94955124,138.16,131.99,23883.53,-1116.46,-0.044658
2025-09-29T19:55:37Z,ANIP,262.98779590,95.05,92.20,24247.47,-749.52,-0.029984
2025-09-29T19:55:37Z,APH,203.02111589,123.13,120.76,24516.32,-481.67,-0.019268
